Wall time,Step,Value
1485535796.0967605,1701,0.84375
1485535797.000229,1704,0.875
1485535799.0964828,1711,0.90625
1485535801.7815301,1720,0.90625
1485535804.9149132,1730,0.96875
1485535806.1282783,1734,0.875
1485535806.7232673,1736,0.90625
1485535807.6484413,1739,0.8125
1485535809.1585858,1744,0.875
1485535810.1142704,1747,0.84375
1485535810.429599,1748,0.9375
1485535810.7450905,1749,0.90625
1485535816.4600925,1768,0.84375
1485535819.2000463,1777,0.90625
1485535821.0099123,1783,0.9375
1485535823.1281586,1790,0.9375
1485535823.432289,1791,0.84375
1485535826.1502604,1800,0.90625
1485535828.23264,1807,0.8125
1485535831.8367035,1819,0.90625
1485535834.544331,1828,0.8125
1485535835.7409108,1832,0.90625
1485535838.7323532,1842,1.0
1485535839.9413178,1846,0.875
1485535841.4557962,1851,0.90625
1485535842.652776,1855,0.84375
1485535846.5709596,1868,0.96875
1485535847.4695404,1871,0.90625
1485535849.2814155,1877,0.875
1485535849.5790083,1878,0.90625
1485535849.883683,1879,0.90625
1485535859.9446416,1913,0.84375
1485535861.7510135,1919,0.90625
1485535866.8547647,1936,0.90625
1485535867.4502873,1938,0.9375
1485535868.0352235,1940,0.96875
1485535869.8236823,1946,0.84375
1485535870.7559621,1949,0.9375
1485535871.4250681,1951,0.90625
1485535872.3450818,1954,0.8125
1485535876.8404658,1969,0.9375
1485535877.4513617,1971,0.9375
1485535881.1088078,1983,0.9375
1485535881.4034996,1984,0.90625
1485535881.7086644,1985,0.90625
1485535887.1183355,2003,0.8125
1485535888.310234,2007,0.84375
1485535890.728485,2015,0.90625
1485535891.9221475,2019,0.90625
1485535894.9640045,2029,0.90625
1485535895.8653548,2032,0.8125
1485535896.760046,2035,0.96875
1485535897.6503687,2038,0.78125
1485535905.1642454,2062,0.96875
1485535908.8003216,2074,0.90625
1485535909.0988429,2075,0.8125
1485535910.0066853,2078,0.96875
1485535910.2977712,2079,0.90625
1485535910.9078147,2081,0.9375
1485535911.4993663,2083,0.875
1485535912.7019749,2087,0.90625
